PLANT_ID	SUBPOP	Lat_origin	Long_origin	PLOT_GL	SITE	GR50	DOY	DYLN	cgdd_12c_jan2gr	cgdd_8c_jan2gr	GDD_12C_SM	tmax_18d	tmin_18d	tave_18d	cgdd_12c_18d	tmax_10d	tmin_10d	tave_10d	cgdd_12c_10d	tmax_5d	tmin_5d	tave_5d	cgdd_12c_5d
J005.D	Gulf	33.9764	89.683105	C6018	CLMB	116	2019-04-27	13.6484504460942	72.4	182.15	2.85	20.1888888888889	6.95555555555556	13.5722222222222	2.675	20.06	7.98	14.02	2.3	19.34	8.22	13.78	1.78
J005.D	Gulf	33.9764	89.683105	F3321	FRMI	149	2019-05-30	14.9484902638801	135.25	302.5	9.4	23.2666666666667	10.8777777777778	17.0722222222222	5.21944444444444	23.99	13.01	18.5	6.645	24.22	12.8	18.51	6.51
J005.D	Gulf	33.9764	89.683105	L3001	LINC	138	2019-05-19	14.5829013276327	99.25	227	4.95	20.1611111111111	7.31111111111111	13.7361111111111	2.99722222222222	22.73	9	15.865	4.69	28.46	13.66	21.06	9.06
J005.D	Gulf	33.9764	89.683105	M1402	KBSM	134	2019-05-15	14.5668410415973	31.4	124.8	1.25	15.7444444444444	5.15555555555556	10.45	0.672222222222222	16.81	5.22	11.015	0.965	16.2	4.06	10.13	0.25
J005.D	Gulf	33.9764	89.683105	B2714	BRKG	154	2019-06-04	15.3379246894599	78.6	190.55	8	18.2	8.7	13.45	2.60555555555556	21.65	10.34	15.995	4.095	24.66	12.02	18.34	6.34
J006.A	Atlantic	35.732678	78.851233	P3401	PKLE	65	2019-03-07	11.6910268147197	122.6	286.15	4.95	15.0555555555556	5.7	10.3777777777778	1.32222222222222	14	4.37	9.185	1.57	11.66	0.84	6.25	0.99
J006.A	Atlantic	35.732678	78.851233	C2416	CLMB	116	2019-04-27	13.6484504460942	72.4	182.15	2.85	20.1888888888889	6.95555555555556	13.5722222222222	2.675	20.06	7.98	14.02	2.3	19.34	8.22	13.78	1.78
J006.A	Atlantic	35.732678	78.851233	S2707	STIL	119	2019-04-30	13.5911072085459	165.475	354.765	4.895	22.1144444444444	10.5005555555556	16.3075	4.62055555555555	23.265	12.124	17.6945	5.6945	24.512	11.228	17.87	5.87
J006.A	Atlantic	35.732678	78.851233	M6219	KBSM	129	2019-05-10	14.3856047474734	30.15	112.55	0	15.8111111111111	5.16111111111111	10.4861111111111	0.8	17.32	6.2	11.76	1.085	17.42	6.38	11.9	1.68
J006.B	Atlantic	35.732678	78.851233	P1220	PKLE	70	2019-03-12	11.8444623301408	163.75	347.3	8	18.4	7.88888888888889	13.1444444444444	3.58055555555556	18.73	7.75	13.24	4.61	25.8	14.66	20.23	8.23
J006.B	Atlantic	35.732678	78.851233	T2810	TMPL	91	2019-04-02	12.5018320752962	190.665	409.81	0.145	20.7505555555556	9.85888888888889	15.3047222222222	3.68305555555556	20.972	10.134	15.553	4.048	18.062	7.562	12.812	1.802
J006.B	Atlantic	35.732678	78.851233	C1610	CLMB	129	2019-05-10	14.1093728213494	108.7	265.2	0	18.9833333333333	9.45555555555556	14.2194444444444	2.51111111111111	19.32	10.34	14.83	3.03	19.86	10.44	15.15	3.55
J006.B	Atlantic	35.732678	78.851233	S3220	STIL	121	2019-05-02	13.6563848340598	175.92	373.21	3.62	23.05	11.3516666666667	17.2008333333333	5.20083333333333	22.537	11.621	17.079	5.079	22.88	12.432	17.656	5.656
J006.B	Atlantic	35.732678	78.851233	L3512	LINC	138	2019-05-19	14.5829013276327	99.25	227	4.95	20.1611111111111	7.31111111111111	13.7361111111111	2.99722222222222	22.73	9	15.865	4.69	28.46	13.66	21.06	9.06
J006.B	Atlantic	35.732678	78.851233	M6406	KBSM	136	2019-05-17	14.6352410731026	41.45	142.85	5.45	17.0166666666667	6.23333333333333	11.625	1.23055555555556	17.64	6.24	11.94	1.555	20.28	7.6	13.94	2.26
J006.B	Atlantic	35.732678	78.851233	B1106	BRKG	144	2019-05-25	15.0829444412388	37.65	110.6	3.8	15.4388888888889	6.43888888888889	10.9388888888889	1.475	16	7.65	11.825	1.805	14.66	7.64	11.15	0.76
J006.C	Atlantic	35.732678	78.851233	K2006	KING	102	2019-04-13	12.7417196335874	583.1	946.6	10.05	27.2666666666667	14.8111111111111	21.0388888888889	9.15555555555556	30.22	17.35	23.785	11.785	31.94	15.76	23.85	11.85
J006.C	Atlantic	35.732678	78.851233	P1814	PKLE	72	2019-03-14	11.9061058587194	180	371.55	7.7	18.9833333333333	8.38333333333333	13.6833333333333	4.11944444444444	22.95	10.63	16.79	6.235	24.44	13.78	19.11	7.11
J006.C	Atlantic	35.732678	78.851233	T1218	TMPL	86	2019-03-28	12.3446688409073	181.655	385.75	5.435	21.1388888888889	10.8966666666667	16.0177777777778	4.22027777777778	23.112	11.852	17.482	5.482	23.882	12.706	18.294	6.294
J006.C	Atlantic	35.732678	78.851233	C2402	CLMB	119	2019-04-30	13.7601402583932	78.4	196.9	3.3	19.5388888888889	7.43333333333333	13.4861111111111	2.49722222222222	20.05	8.97	14.51	2.835	19.2	7.36	13.28	1.93
J006.C	Atlantic	35.732678	78.851233	F1522	FRMI	140	2019-05-21	14.7076949451141	68.8	200.05	0	19.4222222222222	7.47777777777778	13.45	2.07222222222222	20.5	7.96	14.23	2.75	20.22	8.46	14.34	2.87
J006.C	Atlantic	35.732678	78.851233	B2117	BRKG	154	2019-06-04	15.3379246894599	78.6	190.55	8	18.2	8.7	13.45	2.60555555555556	21.65	10.34	15.995	4.095	24.66	12.02	18.34	6.34
J006.C	Atlantic	35.732678	78.851233	M4002	KBSM	127	2019-05-08	14.3093908911833	25.9	104.3	0	16.4777777777778	5	10.7388888888889	0.861111111111111	15.34	5.89	10.615	0.66	18.92	5.82	12.37	1.32
J008.A	Gulf	35.426617	91.839435	P6607	PKLE	58	2019-02-28	11.4788770711039	117.65	274.6	0	18.5166666666667	7.58888888888889	13.0527777777778	2.05	17.33	7.89	12.61	1.885	19.12	8	13.56	2.51
J008.A	Gulf	35.426617	91.839435	K2212	KING	58	2019-02-28	11.5472634754954	238.55	439.5	11.95	22.2888888888889	10.6555555555556	16.4722222222222	4.71111111111111	21.4	11.12	16.26	4.27	23.9	11.48	17.69	5.69
J008.A	Gulf	35.426617	91.839435	T2103	TMPL	56	2019-02-26	11.4010443412188	77.155	193.025	0.720000000000001	14.5161111111111	5.705	10.1105555555556	1.02055555555556	13.774	6.236	10.005	0.476	16.338	7.776	12.057	0.952
J008.A	Gulf	35.426617	91.839435	C6421	CLMB	119	2019-04-30	13.7601402583932	78.4	196.9	3.3	19.5388888888889	7.43333333333333	13.4861111111111	2.49722222222222	20.05	8.97	14.51	2.835	19.2	7.36	13.28	1.93
J008.A	Gulf	35.426617	91.839435	F1713	FRMI	140	2019-05-21	14.7076949451141	68.8	200.05	0	19.4222222222222	7.47777777777778	13.45	2.07222222222222	20.5	7.96	14.23	2.75	20.22	8.46	14.34	2.87
J008.A	Gulf	35.426617	91.839435	L2511	LINC	142	2019-05-23	14.700264093275	100.3	235.2	1.05	19.4833333333333	7.71111111111111	13.5972222222222	2.93888888888889	22.06	9.66	15.86	4.795	15.78	6.88	11.33	1.2
J008.A	Gulf	35.426617	91.839435	B2817	BRKG	144	2019-05-25	15.0829444412388	37.65	110.6	3.8	15.4388888888889	6.43888888888889	10.9388888888889	1.475	16	7.65	11.825	1.805	14.66	7.64	11.15	0.76
J008.A	Gulf	35.426617	91.839435	M6815	KBSM	130	2019-05-11	14.4229497140553	30.15	112.55	0	15.4444444444444	4.95	10.1972222222222	0.8	16.83	5.68	11.255	1.085	15.06	4.84	9.95	0.85
J008.B	Gulf	35.426617	91.839435	P6809	PKLE	59	2019-03-01	11.5089309313112	117.65	275.5	0	18.2388888888889	7.43888888888889	12.8388888888889	2.00833333333333	17.83	8.01	12.92	1.885	17.9	7.68	12.79	2.36
J008.B	Gulf	35.426617	91.839435	K2104	KING	74	2019-03-16	11.9821177565813	359.6	613.2	3.75	23.6611111111111	14.2666666666667	18.9638888888889	7.85555555555556	26.56	17.28	21.92	10.255	27.14	19.48	23.31	11.31
J008.B	Gulf	35.426617	91.839435	C6219	CLMB	119	2019-04-30	13.7601402583932	78.4	196.9	3.3	19.5388888888889	7.43333333333333	13.4861111111111	2.49722222222222	20.05	8.97	14.51	2.835	19.2	7.36	13.28	1.93
J008.B	Gulf	35.426617	91.839435	S2915	STIL	121	2019-05-02	13.6563848340598	175.92	373.21	3.62	23.05	11.3516666666667	17.2008333333333	5.20083333333333	22.537	11.621	17.079	5.079	22.88	12.432	17.656	5.656
J008.B	Gulf	35.426617	91.839435	T2520	TMPL	72	2019-03-14	11.9010721114167	124.37	276.11	5.305	15.7344444444444	6.65888888888889	11.1966666666667	2.66305555555556	20.145	9.867	15.006	4.7215	20.8	12.274	16.537	4.537
J008.B	Gulf	35.426617	91.839435	F3303	FRMI	140	2019-05-21	14.7076949451141	68.8	200.05	0	19.4222222222222	7.47777777777778	13.45	2.07222222222222	20.5	7.96	14.23	2.75	20.22	8.46	14.34	2.87
J008.B	Gulf	35.426617	91.839435	B2411	BRKG	144	2019-05-25	15.0829444412388	37.65	110.6	3.8	15.4388888888889	6.43888888888889	10.9388888888889	1.475	16	7.65	11.825	1.805	14.66	7.64	11.15	0.76
J008.B	Gulf	35.426617	91.839435	L3603	LINC	138	2019-05-19	14.5829013276327	99.25	227	4.95	20.1611111111111	7.31111111111111	13.7361111111111	2.99722222222222	22.73	9	15.865	4.69	28.46	13.66	21.06	9.06
J008.B	Gulf	35.426617	91.839435	M3221	KBSM	130	2019-05-11	14.4229497140553	30.15	112.55	0	15.4444444444444	4.95	10.1972222222222	0.8	16.83	5.68	11.255	1.085	15.06	4.84	9.95	0.85
J008.D	Gulf	35.426617	91.839435	P6805	PKLE	60	2019-03-02	11.5390794087582	117.65	277.2	0	17.9	7.59444444444444	12.7472222222222	2.00833333333333	17.22	8.23	12.725	1.885	16.34	7.9	12.12	2.15
J008.D	Gulf	35.426617	91.839435	T2321	TMPL	57	2019-02-27	11.4316899529609	77.155	196.895	0	15.5083333333333	5.91666666666667	10.7125	1.02055555555556	14.536	5.846	10.191	0.476	18.116	6.688	12.402	0.952
J008.D	Gulf	35.426617	91.839435	K1815	KING	70	2019-03-12	11.8723578236431	316.1	553.7	13.05	22.7111111111111	11.8777777777778	17.2944444444444	6.18611111111111	22.43	12.45	17.44	7.045	28.54	19.08	23.81	11.81
J008.D	Gulf	35.426617	91.839435	C6809	CLMB	116	2019-04-27	13.6484504460942	72.4	182.15	2.85	20.1888888888889	6.95555555555556	13.5722222222222	2.675	20.06	7.98	14.02	2.3	19.34	8.22	13.78	1.78
J008.D	Gulf	35.426617	91.839435	F1913	FRMI	140	2019-05-21	14.7076949451141	68.8	200.05	0	19.4222222222222	7.47777777777778	13.45	2.07222222222222	20.5	7.96	14.23	2.75	20.22	8.46	14.34	2.87
J008.D	Gulf	35.426617	91.839435	L2308	LINC	148	2019-05-29	14.8543583951625	131.45	290.35	1.65	21.7666666666667	9.85	15.8083333333333	4.39444444444444	19.34	9.23	14.285	3.22	23.68	12.46	18.07	6.07
J008.D	Gulf	35.426617	91.839435	B1601	BRKG	151	2019-06-01	15.2714987723668	62.9	162.85	8	18.5388888888889	8.66666666666667	13.6027777777778	2.75833333333333	19.76	9.49	14.625	2.905	21.64	10.22	15.93	4.06
J008.D	Gulf	35.426617	91.839435	M2618	KBSM	127	2019-05-08	14.3093908911833	25.9	104.3	0	16.4777777777778	5	10.7388888888889	0.861111111111111	15.34	5.89	10.615	0.66	18.92	5.82	12.37	1.32
J013.A	Gulf	38.824832	97.625651	P3820	PKLE	76	2019-03-18	12.0296407032655	185.35	392.9	2.75	18.8277777777778	8.35	13.5888888888889	3.76111111111111	22.73	11.55	17.14	5.14	19.78	9.44	14.61	2.61
J013.A	Gulf	38.824832	97.625651	C4216	CLMB	119	2019-04-30	13.7601402583932	78.4	196.9	3.3	19.5388888888889	7.43333333333333	13.4861111111111	2.49722222222222	20.05	8.97	14.51	2.835	19.2	7.36	13.28	1.93
J013.B	Gulf	38.5111	96.8005	K1513	KING	72	2019-03-14	11.9271936308256	346.15	591.75	16.3	23.5777777777778	13.2111111111111	18.3944444444444	7.28611111111111	24.05	14.56	19.305	8.91	30.08	21.82	25.95	13.95
J013.B	Gulf	38.5111	96.8005	P1207	PKLE	58	2019-02-28	11.4788770711039	117.65	274.6	0	18.5166666666667	7.58888888888889	13.0527777777778	2.05	17.33	7.89	12.61	1.885	19.12	8	13.56	2.51
J013.B	Gulf	38.5111	96.8005	P3220	PKLE	71	2019-03-13	11.8752698218965	172.3	359.85	8.55	18.6444444444444	7.95	13.2972222222222	3.73333333333333	20.84	8.97	14.905	5.465	25.68	13.66	19.67	7.67
J013.B	Gulf	38.5111	96.8005	T1217	TMPL	79	2019-03-21	12.1230760156599	138.575	314.67	3.925	18.4927777777778	8.5	13.4963888888889	3.41222222222222	20.089	9.567	14.828	3.1925	20.468	9.214	14.841	2.841
J013.B	Gulf	38.5111	96.8005	S1101	STIL	154	2019-06-04	14.4719312449611	452.965	780.065	12.215	27.5177777777778	16.5644444444444	22.0411111111111	10.0411111111111	28.226	17.714	22.97	10.97	29.864	17.696	23.78	11.78
J013.B	Gulf	38.5111	96.8005	F3515	FRMI	143	2019-05-24	14.7949256689119	90.55	233.8	7.15	20.25	8.65	14.45	3.02222222222222	22.83	10.23	16.53	4.795	20.98	10.66	15.82	4.35
J013.B	Gulf	38.5111	96.8005	L1502	LINC	142	2019-05-23	14.700264093275	100.3	235.2	1.05	19.4833333333333	7.71111111111111	13.5972222222222	2.93888888888889	22.06	9.66	15.86	4.795	15.78	6.88	11.33	1.2
J013.B	Gulf	38.5111	96.8005	B1103	BRKG	156	2019-06-06	15.3770493827741	97.7	217.65	7.45	19.7444444444444	9.41666666666667	14.5805555555556	3.54722222222222	23.49	11.4	17.445	5.51	25.34	12.58	18.96	6.96
J013.C	Gulf	38.5111	96.8005	K1514	KING	81	2019-03-23	12.1745621093751	387.7	669.3	8.65	23.2833333333333	14.2444444444444	18.7638888888889	7.25833333333333	21.98	13.59	17.785	5.785	22.12	12.32	17.22	5.22
