"PLANT_ID" "SUBPOP" "Lat_origin" "Long_origin" "PLOT_GL" "SITE" "FL50" "GR50" "cgdd_12c_gr2fl" "crain_gr2fl" "crain_5d" "dyln_fl50" "dyln_change_sec" "DOY" "crain_1d" "crain_2d" "crain_3d" "crain_7d"
"56" "J005.D" "Gulf" 33.9764 89.683105 "F3321" "FRMI" 248 149 1062.1 258.7 9.7 13.008482285887 -162.834464477683 2019-09-06 0 0 0 9.7
"57" "J005.D" "Gulf" 33.9764 89.683105 "L3001" "LINC" 248 138 1070.3 386.4 0.5 12.9864234539969 -158.913315365876 2019-09-06 0 0 0 0.5
"58" "J005.D" "Gulf" 33.9764 89.683105 "M1402" "KBSM" 256 134 1044.9 375 35 12.6543729598405 -169.137075527042 2019-09-14 0 12 17 35
"59" "J005.D" "Gulf" 33.9764 89.683105 "B2714" "BRKG" 259 154 832.6 502 125.3 12.5425392669793 -181.488575004728 2019-09-17 9.7 9.7 9.7 135
"60" "J006.A" "Atlantic" 35.732678 78.851233 "P3401" "PKLE" 154 65 871.4 386.5 12.2 13.9911873490845 45.1230039123267 2019-06-04 9.4 9.4 9.4 21.6
"61" "J006.A" "Atlantic" 35.732678 78.851233 "C2416" "CLMB" 191 116 612.5 347.99 3.56 14.7471079125276 -57.5423002495377 2019-07-11 0 0 1.02 3.56
"62" "J006.A" "Atlantic" 35.732678 78.851233 "S2707" "STIL" 193 119 807.9 576.05 0 14.44187938518 -56.4458469257744 2019-07-13 0 0 0 0
"63" "J006.A" "Atlantic" 35.732678 78.851233 "M6219" "KBSM" 219 129 746.8 318 4 14.2801693754883 -137.994395133268 2019-08-08 3 3 7 7
"64" "J006.B" "Atlantic" 35.732678 78.851233 "P1220" "PKLE" 146 70 709.65 373.3 4.1 13.8752043500388 60.8675473457602 2019-05-27 0 0 0 4.1
"65" "J006.B" "Atlantic" 35.732678 78.851233 "T2810" "TMPL" 154 91 604.88 434.38 29.72 14.0425086568061 46.3954127807717 2019-06-04 0 0 0 29.72
"66" "J006.B" "Atlantic" 35.732678 78.851233 "C1610" "CLMB" 193 129 595.45 281.95 1.02 14.7126699399849 -63.4547372983768 2019-07-13 0 0 0 1.02
"67" "J006.B" "Atlantic" 35.732678 78.851233 "S3220" "STIL" 198 121 874.55 534.14 0 14.3529917757603 -68.8857913332726 2019-07-18 0 0 0 0
"68" "J006.B" "Atlantic" 35.732678 78.851233 "L3512" "LINC" 206 138 662.5 301 53.8 14.6171655137158 -105.776341959276 2019-07-26 0 0 0 53.8
"69" "J006.B" "Atlantic" 35.732678 78.851233 "M6406" "KBSM" 212 136 673.4 291 4 14.5380871129508 -124.928887733419 2019-08-01 0 0 0 4
"70" "J006.B" "Atlantic" 35.732678 78.851233 "B1106" "BRKG" 217 144 601.6 284 0.3 14.516913405713 -144.737105560407 2019-08-06 0 0 0 0.3
"71" "J006.C" "Atlantic" 35.732678 78.851233 "K2006" "KING" 144 102 542.5 86.6 0 13.6462743741622 57.0578788813542 2019-05-25 0 0 0 0
"72" "J006.C" "Atlantic" 35.732678 78.851233 "P1814" "PKLE" 154 72 825.3 385.2 12.2 13.9911873490845 45.1230039123267 2019-06-04 9.4 9.4 9.4 21.6
"73" "J006.C" "Atlantic" 35.732678 78.851233 "T1218" "TMPL" 182 86 1023.525 622.3 14.64 14.136921865379 -20.9344340135488 2019-07-02 0 3.16 6.32 14.64
"74" "J006.C" "Atlantic" 35.732678 78.851233 "C2402" "CLMB" 190 119 594.2 345.7 25.66 14.7630918848192 -54.517384230315 2019-07-10 0 1.02 1.02 25.66
"75" "J006.C" "Atlantic" 35.732678 78.851233 "F1522" "FRMI" 207 140 692.75 264.9 2 14.6503490468191 -111.075381009289 2019-07-27 0 0 0 2
"76" "J006.C" "Atlantic" 35.732678 78.851233 "B2117" "BRKG" 214 154 539.45 255.8 55.4 14.6359217188168 -138.820396647834 2019-08-03 0.3 0.3 0.3 55.7
"77" "J006.C" "Atlantic" 35.732678 78.851233 "M4002" "KBSM" 256 127 1049.15 414 35 12.6543729598405 -169.137075527042 2019-09-14 0 12 17 35
"78" "J008.A" "Gulf" 35.426617 91.839435 "P6607" "PKLE" 190 58 1462.15 512.1 9.7 14.0148730094573 -38.4569348606234 2019-07-10 0 0 9.7 9.7
"79" "J008.A" "Gulf" 35.426617 91.839435 "K2212" "KING" 191 58 1708 325.32 0 13.7902449834419 -35.9086333956945 2019-07-11 0 0 0 0
"80" "J008.A" "Gulf" 35.426617 91.839435 "T2103" "TMPL" 221 56 1769.15 667.27 2.56 13.4714362989827 -90.9691784261803 2019-08-10 0 0 0 2.56
"81" "J008.A" "Gulf" 35.426617 91.839435 "C6421" "CLMB" 247 119 1237.55 529.85 38.86 12.9575334394334 -146.096203971692 2019-09-05 0 0 0 38.86
"82" "J008.A" "Gulf" 35.426617 91.839435 "F1713" "FRMI" 248 140 1112.55 343.4 9.7 13.008482285887 -162.834464477683 2019-09-06 0 0 0 9.7
"83" "J008.A" "Gulf" 35.426617 91.839435 "L2511" "LINC" 252 142 1094.85 379.2 2 12.8087109578572 -160.510078563086 2019-09-10 11.2 11.2 13.2 13.2
"84" "J008.A" "Gulf" 35.426617 91.839435 "B2817" "BRKG" 259 144 863.55 529.9 125.3 12.5425392669793 -181.488575004728 2019-09-17 9.7 9.7 9.7 135
"85" "J008.A" "Gulf" 35.426617 91.839435 "M6815" "KBSM" 259 130 1068.5 386 35 12.513015249613 -169.854685275952 2019-09-17 0 0 2 35
"86" "J008.B" "Gulf" 35.426617 91.839435 "P6809" "PKLE" 181 59 1298.55 502.1 37.9 14.0886567069036 -18.0024083683556 2019-07-01 0 11.9 22.6 37.9
"87" "J008.B" "Gulf" 35.426617 91.839435 "K2104" "KING" 182 74 1416.8 320.25 0.25 13.8604504713942 -17.9915616263422 2019-07-02 0 0 0 0.25
"88" "J008.B" "Gulf" 35.426617 91.839435 "C6219" "CLMB" 210 119 839.4 416.32 28.96 14.3025185438104 -105.13651793019 2019-07-30 0 28.96 28.96 28.96
"89" "J008.B" "Gulf" 35.426617 91.839435 "S2915" "STIL" 210 121 1056.265 542.53 0 14.0763133239876 -93.8608207897076 2019-07-30 0 0 0 0
"90" "J008.B" "Gulf" 35.426617 91.839435 "T2520" "TMPL" 217 72 1658.095 663.8 3.04 13.5706620955445 -86.4054599667796 2019-08-06 0 0 2.56 3.04
"91" "J008.B" "Gulf" 35.426617 91.839435 "F3303" "FRMI" 225 140 905.05 291.8 19.5 14.0007669942416 -143.72827706758 2019-08-14 0 8.1 13.7 19.5
"92" "J008.B" "Gulf" 35.426617 91.839435 "B2411" "BRKG" 242 144 774.25 369.2 21.7 13.3868233537279 -174.459726738912 2019-08-31 1.5 1.5 1.5 23.2
"93" "J008.B" "Gulf" 35.426617 91.839435 "L3603" "LINC" 246 138 1056.8 386.4 1.3 13.0745806394372 -157.965751111602 2019-09-04 0 0 0 1.3
