Qqplot_order,path,site,phe,subpop,individuals,SNPs,PCs,date_run,time_run,bonferroni,notes,peak info,qqplot
202,analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Atlantic,262,10.6M,14,2020-06-14,06.34.49.png,10,,,skip
203,analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Midwest_Gulf,304,12.1M,5,2020-06-12,15.47.12.png,100,,"Chr02N, 4K",skip
204,analysis/gwas/GDD/QQplot,PKLE,CGDD.12C,Midwest_Atlantic,382,12.3M,14,2020-06-14,21.28.47.png,10,nice,1N,
205,analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Midwest,120,8.8M,2,2020-06-13,13.40.15.png,0,,,skip
206,analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Gulf,184,10.3M,7,2020-06-13,21.42.44.png,1,nice,,
207,analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Atlantic,262,10.6M,0,2020-06-14,10.51.59.png,10,nice,,
208,analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Midwest_Gulf,304,12.1M,2,2020-06-12,21.40.11.png,100,nice,"9N, 7N, 8N",
209,analysis/gwas/GDD/QQplot,PKLE,CRAIN.5d,Midwest_Atlantic,382,12.3M,1,2020-06-15,03.01.30.png,100,nice,"9N, 7N, 8N",
210,analysis/gwas/GDD/QQplot,PKLE,CRAIN,Midwest,120,8.8M,2,2020-06-13,13.28.53.png,1,,,skip
211,analysis/gwas/GDD/QQplot,PKLE,CRAIN,Gulf,184,10.3M,14,2020-06-13,21.30.06.png,10,nice,Chr07K,
212,analysis/gwas/GDD/QQplot,PKLE,CRAIN,Atlantic,262,10.6M,11,2020-06-14,10.39.10.png,10,nice,"3N, 7K",
213,analysis/gwas/GDD/QQplot,PKLE,CRAIN,Midwest_Gulf,304,12.1M,15,2020-06-12,21.26.13.png,0,,,skip
214,analysis/gwas/GDD/QQplot,PKLE,CRAIN,Midwest_Atlantic,382,12.3M,15,2020-06-15,02.46.52.png,0,,,skip
215,analysis/gwas/GDD/QQplot,PKLE,EM1,Midwest,122,8.8M,4,2020-06-13,15.11.41.png,,structure,,skip
216,analysis/gwas/GDD/QQplot,PKLE,EM1,Gulf,226,10.3M,14,2020-06-14,00.36.17.png,1,,,skip
217,analysis/gwas/GDD/QQplot,PKLE,EM1,Atlantic,264,10.6M,11,2020-06-14,14.30.14.png,1,,,skip
218,analysis/gwas/GDD/QQplot,PKLE,EM1,Midwest_Gulf,348,12.1M,14,2020-06-13,02.59.17.png,1,,3N,skip
219,analysis/gwas/GDD/QQplot,PKLE,EM1,Midwest_Atlantic,386,12.3M,14,2020-06-15,07.49.46.png,0,nice,8K,
220,analysis/gwas/GDD/QQplot,PKLE,EM50,Midwest,122,8.8M,4,2020-06-13,15.22.52.png,,structure,,skip
221,analysis/gwas/GDD/QQplot,PKLE,EM50,Gulf,226,10.3M,14,2020-06-14,00.49.14.png,10,messy,,skip
222,analysis/gwas/GDD/QQplot,PKLE,EM50,Atlantic,264,10.6M,12,2020-06-14,14.43.18.png,10,nice,,
223,analysis/gwas/GDD/QQplot,PKLE,EM50,Midwest_Gulf,348,12.1M,14,2020-06-13,03.13.31.png,10,nice,3N 7K,
224,analysis/gwas/GDD/QQplot,PKLE,EM50,Midwest_Atlantic,386,12.3M,14,2020-06-15,08.04.18.png,0,,,skip
225,analysis/gwas/GDD/QQplot,PKLE,FL1,Midwest,122,8.8M,2,2020-06-13,15.34.16.png,,structure,,skip
226,analysis/gwas/GDD/QQplot,PKLE,FL1,Gulf,208,10.3M,14,2020-06-14,01.01.43.png,10,nice,"3N, 8N",
227,analysis/gwas/GDD/QQplot,PKLE,FL1,Atlantic,263,10.6M,15,2020-06-14,14.56.18.png,10,nice,,
228,analysis/gwas/GDD/QQplot,PKLE,FL1,Midwest_Gulf,330,12.1M,8,2020-06-13,03.27.45.png,100,nice,"6K, 7K, 8N",
229,analysis/gwas/GDD/QQplot,PKLE,FL1,Midwest_Atlantic,385,12.3M,5,2020-06-15,08.18.55.png,10,nice,2N,
230,analysis/gwas/GDD/QQplot,PKLE,FL50,Midwest,121,8.8M,9,2020-06-13,12.54.29.png,10,,,skip
231,analysis/gwas/GDD/QQplot,PKLE,FL50,Gulf,184,10.3M,14,2020-06-13,20.27.05.png,10,,,skip
232,analysis/gwas/GDD/QQplot,PKLE,FL50,Atlantic,262,10.6M,14,2020-06-14,09.21.45.png,1,,,skip
233,analysis/gwas/GDD/QQplot,PKLE,FL50,Midwest_Gulf,305,12.1M,5,2020-06-12,19.34.49.png,100,centromere,2N,
234,analysis/gwas/GDD/QQplot,PKLE,FL50,Midwest_Atlantic,383,12.3M,14,2020-06-15,01.05.37.png,1,nice,"5N, 1N",
235,analysis/gwas/GDD/QQplot,PKLE,GR100,Midwest,123,8.8M,1,2020-06-13,15.57.23.png,1,nice,,
236,analysis/gwas/GDD/QQplot,PKLE,GR100,Gulf,227,10.3M,14,2020-06-14,01.27.26.png,1,,,skip
237,analysis/gwas/GDD/QQplot,PKLE,GR100,Atlantic,264,10.6M,3,2020-06-14,15.22.04.png,0,,,skip
238,analysis/gwas/GDD/QQplot,PKLE,GR100,Midwest_Gulf,350,12.1M,13,2020-06-13,03.56.18.png,1,nice,2N,
239,analysis/gwas/GDD/QQplot,PKLE,GR100,Midwest_Atlantic,387,12.3M,5,2020-06-15,08.47.44.png,1,nice,4K,
240,analysis/gwas/GDD/QQplot,PKLE,GR1,Midwest,125,8.8M,5,2020-06-13,15.45.56.png,0,,,skip
241,analysis/gwas/GDD/QQplot,PKLE,GR1,Gulf,227,10.3M,6,2020-06-14,01.14.36.png,0,,,skip
242,analysis/gwas/GDD/QQplot,PKLE,GR1,Atlantic,265,10.6M,3,2020-06-14,15.09.16.png,0,,,skip
243,analysis/gwas/GDD/QQplot,PKLE,GR1,Midwest_Gulf,352,12.1M,9,2020-06-13,03.42.00.png,0,,,skip
244,analysis/gwas/GDD/QQplot,PKLE,GR1,Midwest_Atlantic,390,12.3M,4,2020-06-15,08.33.20.png,1,,,skip
245,analysis/gwas/GDD/QQplot,PKLE,GR50,Midwest,124,8.8M,1,2020-06-13,12.20.11.png,0,,,skip
246,analysis/gwas/GDD/QQplot,PKLE,GR50,Gulf,227,10.3M,14,2020-06-13,19.11.32.png,1,,,skip
247,analysis/gwas/GDD/QQplot,PKLE,GR50,Atlantic,265,10.6M,6,2020-06-14,07.52.03.png,1,nice,9N,
248,analysis/gwas/GDD/QQplot,PKLE,GR50,Midwest_Gulf,351,12.1M,10,2020-06-12,17.42.28.png,1,nice,2N,
249,analysis/gwas/GDD/QQplot,PKLE,GR50,Midwest_Atlantic,389,12.3M,4,2020-06-14,23.09.51.png,1,,,skip
250,analysis/gwas/GDD/QQplot,PKLE,PTT.12C,Midwest,120,8.8M,13,2020-06-13,14.37.13.png,100,nice,"2N, 6N",
251,analysis/gwas/GDD/QQplot,PKLE,PTT.12C,Gulf,184,10.3M,14,2020-06-13,23.33.34.png,1,nice,3N,
252,analysis/gwas/GDD/QQplot,PKLE,PTT.12C,Atlantic,262,10.6M,14,2020-06-14,13.12.45.png,10,,,skip
253,analysis/gwas/GDD/QQplot,PKLE,PTT.12C,Midwest_Gulf,304,12.1M,5,2020-06-13,01.06.20.png,100,centromere,"2N, 4K",
254,analysis/gwas/GDD/QQplot,PKLE,PTT.12C,Midwest_Atlantic,382,12.3M,14,2020-06-15,06.07.53.png,10,nice,1N,
255,analysis/gwas/GDD/QQplot,STIL,CGDD.12C,Midwest_Gulf,135,12.1M,11,2020-06-12,17.13.30.png,0,,,skip
256,analysis/gwas/GDD/QQplot,STIL,CGDD.12C,Midwest_Atlantic,141,12.3M,4,2020-06-14,22.41.07.png,100,nice,"4N, 6N, 8K",
257,analysis/gwas/GDD/QQplot,STIL,CRAIN.5d,Midwest_Gulf,135,12.1M,1,2020-06-13,00.24.08.png,1,,,skip
258,analysis/gwas/GDD/QQplot,STIL,CRAIN.5d,Midwest_Atlantic,141,12.3M,1,2020-06-15,05.24.46.png,10,,7K,skip
259,analysis/gwas/GDD/QQplot,STIL,CRAIN,Midwest_Gulf,135,12.1M,1,2020-06-13,00.10.45.png,0,,,skip
260,analysis/gwas/GDD/QQplot,STIL,CRAIN,Midwest_Atlantic,141,12.3M,0,2020-06-15,05.10.32.png,0,,,skip
261,analysis/gwas/GDD/QQplot,STIL,EM1,Atlantic,154,10.6M,7,2020-06-14,19.39.44.png,1,nice,9N,
262,analysis/gwas/GDD/QQplot,STIL,EM1,Gulf,217,10.3M,9,2020-06-14,04.49.35.png,0,,,skip
263,analysis/gwas/GDD/QQplot,STIL,EM1,Midwest_Atlantic,230,12.3M,10,2020-06-15,14.23.15.png,0,,,skip
264,analysis/gwas/GDD/QQplot,STIL,EM1,Midwest_Gulf,293,12.1M,12,2020-06-13,09.51.39.png,0,nice,4K,
265,analysis/gwas/GDD/QQplot,STIL,EM50,Atlantic,154,10.6M,6,2020-06-14,19.52.51.png,0,,,skip
266,analysis/gwas/GDD/QQplot,STIL,EM50,Gulf,217,10.3M,9,2020-06-14,05.02.13.png,1,nice,"1N, 2N, 6N",
267,analysis/gwas/GDD/QQplot,STIL,EM50,Midwest_Atlantic,230,12.3M,9,2020-06-15,14.37.49.png,0,,,skip
268,analysis/gwas/GDD/QQplot,STIL,EM50,Midwest_Gulf,293,12.1M,12,2020-06-13,10.05.42.png,10,nice,"1N, 6N",
269,analysis/gwas/GDD/QQplot,STIL,FL1,Atlantic,143,10.6M,5,2020-06-14,20.05.37.png,10,nice,Chr05N,
270,analysis/gwas/GDD/QQplot,STIL,FL1,Gulf,176,10.3M,12,2020-06-14,05.14.45.png,0,,,skip
271,analysis/gwas/GDD/QQplot,STIL,FL1,Midwest_Atlantic,215,12.3M,9,2020-06-15,14.52.24.png,0,,,skip
272,analysis/gwas/GDD/QQplot,STIL,FL1,Midwest_Gulf,248,12.1M,15,2020-06-13,10.19.40.png,0,,,skip
273,analysis/gwas/GDD/QQplot,STIL,FL50,Midwest_Gulf,137,12.1M,11,2020-06-12,20.58.53.png,0,,,skip
274,analysis/gwas/GDD/QQplot,STIL,FL50,Midwest_Atlantic,141,12.3M,4,2020-06-15,02.18.15.png,10,nice,8K,
275,analysis/gwas/GDD/QQplot,STIL,GR100,Atlantic,149,10.6M,0,2020-06-14,20.30.59.png,0,,,skip
276,analysis/gwas/GDD/QQplot,STIL,GR100,Gulf,213,10.3M,0,2020-06-14,05.39.37.png,0,,,skip
277,analysis/gwas/GDD/QQplot,STIL,GR100,Midwest_Atlantic,224,12.3M,7,2020-06-15,15.20.41.png,0,,,skip
278,analysis/gwas/GDD/QQplot,STIL,GR100,Midwest_Gulf,288,12.1M,6,2020-06-13,10.48.06.png,1,,,skip
279,analysis/gwas/GDD/QQplot,STIL,GR1,Atlantic,156,10.6M,0,2020-06-14,20.18.16.png,10,,,skip
280,analysis/gwas/GDD/QQplot,STIL,GR1,Gulf,217,10.3M,2,2020-06-14,05.27.19.png,1,,,skip
281,analysis/gwas/GDD/QQplot,STIL,GR1,Midwest_Atlantic,234,12.3M,0,2020-06-15,15.06.26.png,1,,,skip
282,analysis/gwas/GDD/QQplot,STIL,GR1,Midwest_Gulf,295,12.1M,11,2020-06-13,10.34.00.png,1,nice,Chr05N,
283,analysis/gwas/GDD/QQplot,STIL,GR50,Atlantic,154,10.6M,0,2020-06-14,08.55.59.png,0,,,skip
284,analysis/gwas/GDD/QQplot,STIL,GR50,Gulf,215,10.3M,0,2020-06-13,20.01.52.png,0,,,skip
285,analysis/gwas/GDD/QQplot,STIL,GR50,Midwest_Atlantic,231,12.3M,0,2020-06-15,00.36.56.png,0,,,skip
286,analysis/gwas/GDD/QQplot,STIL,GR50,Midwest_Gulf,292,12.1M,1,2020-06-12,19.06.35.png,10,nice,Chr05N,
287,analysis/gwas/GDD/QQplot,STIL,PTT.12C,Midwest_Gulf,135,12.1M,11,2020-06-13,02.31.03.png,0,,,skip
288,analysis/gwas/GDD/QQplot,STIL,PTT.12C,Midwest_Atlantic,141,12.3M,4,2020-06-15,07.21.08.png,100,nice,"4N, 6K, 6N, 8K",
289,analysis/gwas/GDD/QQplot,TMPL,CGDD.12C,Atlantic,103,10.6M,3,2020-06-14,07.39.17.png,1,,,skip
290,analysis/gwas/GDD/QQplot,TMPL,CGDD.12C,Midwest_Atlantic,163,12.3M,5,2020-06-14,22.55.19.png,1,,,skip
291,analysis/gwas/GDD/QQplot,TMPL,CGDD.12C,Gulf,194,10.3M,7,2020-06-13,18.58.39.png,0,,,skip
292,analysis/gwas/GDD/QQplot,TMPL,CGDD.12C,Midwest_Gulf,254,12.1M,12,2020-06-12,17.27.48.png,0,,,skip
293,analysis/gwas/GDD/QQplot,TMPL,CRAIN.5d,Atlantic,103,10.6M,3,2020-06-14,12.59.55.png,10,,,skip
294,analysis/gwas/GDD/QQplot,TMPL,CRAIN.5d,Midwest_Atlantic,163,12.3M,4,2020-06-15,05.53.25.png,10,,,skip
295,analysis/gwas/GDD/QQplot,TMPL,CRAIN.5d,Gulf,194,10.3M,0,2020-06-13,23.21.08.png,10,nice,"Chr04N, Chr05N",
296,analysis/gwas/GDD/QQplot,TMPL,CRAIN.5d,Midwest_Gulf,254,12.1M,1,2020-06-13,00.52.17.png,1,,,skip
297,analysis/gwas/GDD/QQplot,TMPL,CRAIN,Atlantic,103,10.6M,3,2020-06-14,12.47.08.png,0,,,skip
298,analysis/gwas/GDD/QQplot,TMPL,CRAIN,Midwest_Atlantic,163,12.3M,4,2020-06-15,05.39.05.png,1,,,skip
299,analysis/gwas/GDD/QQplot,TMPL,CRAIN,Gulf,194,10.3M,4,2020-06-13,23.08.55.png,10,messy,,skip
300,analysis/gwas/GDD/QQplot,TMPL,CRAIN,Midwest_Gulf,254,12.1M,2,2020-06-13,00.38.07.png,1000,messy,,skip
301,analysis/gwas/GDD/QQplot,TMPL,FL1,Atlantic,106,10.6M,3,2020-06-14,20.43.43.png,1,,,skip
302,analysis/gwas/GDD/QQplot,TMPL,FL1,Midwest_Atlantic,167,12.3M,4,2020-06-15,15.34.47.png,1,,,skip
303,analysis/gwas/GDD/QQplot,TMPL,FL1,Gulf,194,10.3M,9,2020-06-14,05.52.02.png,1,,,skip
304,analysis/gwas/GDD/QQplot,TMPL,FL1,Midwest_Gulf,255,12.1M,12,2020-06-13,11.01.59.png,0,,,skip
305,analysis/gwas/GDD/QQplot,TMPL,FL50,Atlantic,106,10.6M,3,2020-06-14,10.26.01.png,1,nice,Chr08N,
306,analysis/gwas/GDD/QQplot,TMPL,FL50,Midwest_Atlantic,167,12.3M,4,2020-06-15,02.32.27.png,0,,,skip
307,analysis/gwas/GDD/QQplot,TMPL,FL50,Gulf,194,10.3M,6,2020-06-13,21.17.19.png,0,,,skip
308,analysis/gwas/GDD/QQplot,TMPL,FL50,Midwest_Gulf,255,12.1M,12,2020-06-12,21.12.26.png,1,nice,Chr09K,
309,analysis/gwas/GDD/QQplot,TMPL,GR100,Atlantic,105,10.6M,3,2020-06-14,21.09.27.png,0,,,skip
310,analysis/gwas/GDD/QQplot,TMPL,GR100,Gulf,200,10.3M,9,2020-06-14,06.17.35.png,1,,,skip
311,analysis/gwas/GDD/QQplot,TMPL,GR100,Midwest_Gulf,260,12.1M,11,2020-06-13,11.30.21.png,1,,,skip
312,analysis/gwas/GDD/QQplot,TMPL,GR1,Atlantic,112,10.6M,11,2020-06-14,20.56.31.png,1,,,skip
313,analysis/gwas/GDD/QQplot,TMPL,GR1,Midwest_Atlantic,174,12.3M,6,2020-06-15,15.49.26.png,1,,,skip
314,analysis/gwas/GDD/QQplot,TMPL,GR1,Gulf,204,10.3M,14,2020-06-14,06.04.58.png,10,,,skip
315,analysis/gwas/GDD/QQplot,TMPL,GR1,Midwest_Gulf,266,12.1M,13,2020-06-13,11.16.12.png,10,nice,Chr05K,
316,analysis/gwas/GDD/QQplot,TMPL,GR50,Atlantic,107,10.6M,11,2020-06-14,09.08.51.png,1,,Chr06K,skip
317,analysis/gwas/GDD/QQplot,TMPL,GR50,Midwest_Atlantic,168,12.3M,10,2020-06-15,00.51.01.png,1,,Chr06K,skip
318,analysis/gwas/GDD/QQplot,TMPL,GR50,Gulf,204,10.3M,9,2020-06-13,20.14.18.png,1,,,skip
319,analysis/gwas/GDD/QQplot,TMPL,GR50,Midwest_Gulf,265,12.1M,13,2020-06-12,19.20.33.png,0,,,skip
320,analysis/gwas/GDD/QQplot,TMPL,PTT.12C,Atlantic,103,10.6M,3,2020-06-14,14.17.03.png,1,,,skip
321,analysis/gwas/GDD/QQplot,TMPL,PTT.12C,Midwest_Atlantic,163,12.3M,4,2020-06-15,07.35.21.png,1,,,skip
322,analysis/gwas/GDD/QQplot,TMPL,PTT.12C,Gulf,194,10.3M,4,2020-06-14,00.23.47.png,0,,,skip
323,analysis/gwas/GDD/QQplot,TMPL,PTT.12C,Midwest_Gulf,254,12.1M,12,2020-06-13,02.45.03.png,0,,,skip
