path,site,phe,subpop,individuals,SNPs,PCs,date_run,time_run,bonferroni,notes,qqplot,peak info
analysis/gwas/GDD/QQplot,KBSM,EM1,Midwest_Gulf,310,12.1M,13,2020-06-13,08.40.12.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM50,Midwest,109,8.8M,3,2020-06-13,17.17.41.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM50,Atlantic,200,10.6M,13,2020-06-14,18.48.23.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM50,Gulf,205,10.3M,14,2020-06-14,03.58.44.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM50,Midwest_Atlantic,309,12.3M,10,2020-06-15,13.24.36.png,,,,
analysis/gwas/GDD/QQplot,KBSM,EM50,Midwest_Gulf,314,12.1M,11,2020-06-13,08.54.32.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL1,Midwest,109,8.8M,6,2020-06-13,17.28.57.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL1,Atlantic,199,10.6M,5,2020-06-14,19.01.31.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL1,Gulf,205,10.3M,14,2020-06-14,04.11.25.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL1,Midwest_Atlantic,308,12.3M,13,2020-06-15,13.39.25.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL1,Midwest_Gulf,314,12.1M,15,2020-06-13,09.08.58.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL50,Midwest,109,8.8M,6,2020-06-13,13.17.18.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL50,Gulf,198,10.3M,7,2020-06-13,21.04.47.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL50,Atlantic,199,10.6M,5,2020-06-14,10.13.14.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL50,Midwest_Gulf,307,12.1M,11,2020-06-12,20.45.04.png,,,,
analysis/gwas/GDD/QQplot,KBSM,FL50,Midwest_Atlantic,308,12.3M,13,2020-06-15,02.03.49.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR100,Midwest,108,8.8M,0,2020-06-13,17.51.44.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR100,Gulf,171,10.3M,5,2020-06-14,04.37.00.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR100,Atlantic,196,10.6M,1,2020-06-14,19.27.08.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR100,Midwest_Gulf,279,12.1M,6,2020-06-13,09.37.22.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR100,Midwest_Atlantic,304,12.3M,2,2020-06-15,14.08.44.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR1,Midwest,109,8.8M,0,2020-06-13,17.40.21.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR1,Atlantic,200,10.6M,3,2020-06-14,19.14.18.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR1,Gulf,208,10.3M,8,2020-06-14,04.24.10.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR1,Midwest_Atlantic,309,12.3M,4,2020-06-15,13.53.59.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR1,Midwest_Gulf,317,12.1M,9,2020-06-13,09.23.19.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR50,Midwest,108,8.8M,0,2020-06-13,12.42.59.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR50,Gulf,195,10.3M,9,2020-06-13,19.49.33.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR50,Atlantic,199,10.6M,3,2020-06-14,08.43.14.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR50,Midwest_Gulf,303,12.1M,5,2020-06-12,18.52.38.png,,,,
analysis/gwas/GDD/QQplot,KBSM,GR50,Midwest_Atlantic,307,12.3M,4,2020-06-15,00.22.56.png,,,,
