indv,subpop,site,phe,bonferroni,qqplot,notes,peak info,mash_decision,SNPs,PCs,date_run,time_run,plot order,,key
446,Atlantic_Gulf,PKLE,CRAIN,10,signal,nice,6K,,11.5M,12,2020-06-15,22.28.26,272,,
168,Atlantic_Gulf,STIL,CRAIN,0,ok,,,,11.5M,1,2020-06-16,01.14.23,329,,
376,Atlantic_Gulf,CLMB,CRAIN.5d,0,low sig,,,,11.5M,3,2020-06-15,23.38.03,54,,
389,Atlantic_Gulf,KBSM,CRAIN.5d,10,signal,nice,"1K, 6K, 8N",,11.5M,2,2020-06-16,01.00.26,120,,
172,Atlantic_Gulf,KING,CRAIN.5d,10,signal,messy,,,11.5M,1,2020-06-16,00.05.14,180,,
188,Atlantic_Gulf,LINC,CRAIN.5d,10,ok,nice,"1K, 4N",,11.5M,3,2020-06-16,00.32.28,217,,
446,Atlantic_Gulf,PKLE,CRAIN.5d,100,signal,nice,"1N, 5K, 6N, 7K",,11.5M,2,2020-06-15,22.42.26,266,,
168,Atlantic_Gulf,STIL,CRAIN.5d,0,ok,nice,"3K, 7K",,11.5M,1,2020-06-16,01.27.52,326,,
297,Atlantic_Gulf,TMPL,CRAIN.5d,10,ok,,4K,,11.5M,8,2020-06-16,01.56.06,375,,
377,Atlantic_Gulf,CLMB,EM1,10,signal,,,,11.5M,13,2020-06-16,06.23.03,66,,
402,Atlantic_Gulf,KBSM,EM1,10,signal,,6K,,11.5M,13,2020-06-16,09.52.19,132,,
255,Atlantic_Gulf,KING,EM1,0,low sig,nice,3K,,11.5M,3,2020-06-16,07.33.01,186,,
189,Atlantic_Gulf,LINC,EM1,1,ok,,,,11.5M,13,2020-06-16,08.42.39,225,,
490,Atlantic_Gulf,PKLE,EM1,10,signal,,6N,,11.5M,14,2020-06-16,04.02.15,278,,
371,Atlantic_Gulf,STIL,EM1,0,ok,,9N,,11.5M,14,2020-06-16,11.02.57,334,,
185,Atlantic_Gulf,BRKG,EM50,1,ok,,,,11.5M,13,2020-06-16,05.27.10,20,,
377,Atlantic_Gulf,CLMB,EM50,1,signal,,,,11.5M,12,2020-06-16,06.36.53,72,,
405,Atlantic_Gulf,KBSM,EM50,10,signal,nice,"3K, 3N, 6K",,11.5M,13,2020-06-16,10.06.28,138,,
252,Atlantic_Gulf,KING,EM50,0,ok,,,,11.5M,12,2020-06-16,07.46.53,189,,
189,Atlantic_Gulf,LINC,EM50,1,ok,nice,"5K, 9K",,11.5M,14,2020-06-16,08.56.46,229,,
490,Atlantic_Gulf,PKLE,EM50,1,ok,,,,11.5M,14,2020-06-16,04.16.30,284,,
371,Atlantic_Gulf,STIL,EM50,1,signal,,,,11.5M,12,2020-06-16,11.17.04,339,,
