site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
KBSM,CRAIN,299,12.1M,7,2020-06-12,Midwest_Gulf,23.43.35,10,,,skip
KBSM,CRAIN,306,12.3M,13,2020-06-15,Midwest_Atlantic,04.41.49,0,,,skip
KBSM,CRAIN,389,11.5M,8,2020-06-16,Atlantic_Gulf,00.46.31,,,,
KBSM,EM1,105,8.8M,2,2020-06-13,Midwest,17.06.07,,structure,,skip
KBSM,EM1,197,10.6M,13,2020-06-14,Atlantic,18.35.20,10,,,skip
KBSM,EM1,205,10.3M,14,2020-06-14,Gulf,03.46.12,0,,,skip
KBSM,EM1,302,12.3M,10,2020-06-15,Midwest_Atlantic,13.09.57,10,,,skip
KBSM,EM1,310,12.1M,13,2020-06-13,Midwest_Gulf,08.40.12,10,,,skip
KBSM,EM1,402,11.5M,13,2020-06-16,Atlantic_Gulf,09.52.19,,,,
KBSM,EM50,109,8.8M,3,2020-06-13,Midwest,17.17.41,,structure,,skip
KBSM,EM50,200,10.6M,13,2020-06-14,Atlantic,18.48.23,100,nice,,
KBSM,EM50,205,10.3M,14,2020-06-14,Gulf,03.58.44,0,,,skip
KBSM,EM50,309,12.3M,10,2020-06-15,Midwest_Atlantic,13.24.36,10,nice,"Chr05N, Chr08N",
KBSM,EM50,314,12.1M,11,2020-06-13,Midwest_Gulf,08.54.32,10,,,skip
KBSM,EM50,405,11.5M,13,2020-06-16,Atlantic_Gulf,10.06.28,,,,
KBSM,FL1,109,8.8M,6,2020-06-13,Midwest,17.28.57,,structure,,skip
KBSM,FL1,199,10.6M,5,2020-06-14,Atlantic,19.01.31,10,nice,,
KBSM,FL1,205,10.3M,14,2020-06-14,Gulf,04.11.25,1,,,skip
KBSM,FL1,308,12.3M,13,2020-06-15,Midwest_Atlantic,13.39.25,10,nice,Chr05N,
KBSM,FL1,314,12.1M,15,2020-06-13,Midwest_Gulf,09.08.58,1,nice,Chr04K,
KBSM,FL1,404,11.5M,13,2020-06-16,Atlantic_Gulf,10.20.37,,,,
KBSM,FL50,109,8.8M,6,2020-06-13,Midwest,13.17.18,0,,,skip
KBSM,FL50,198,10.3M,7,2020-06-13,Gulf,21.04.47,100,nice,,
KBSM,FL50,199,10.6M,5,2020-06-14,Atlantic,10.13.14,0,,,skip
KBSM,FL50,307,12.1M,11,2020-06-12,Midwest_Gulf,20.45.04,100,nice,"Chr05N, Chr09K",
