site,phe,indv,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot,qqplot,plot order,,key
KBSM,CRAIN.5d,108,8.8M,2,2020-06-13,Midwest,14.25.55,10,nice,"Chr02K, Chr04K",,signal,115,,
KBSM,CRAIN.5d,191,10.3M,0,2020-06-13,Gulf,22.56.47,0,,,skip,low sig,116,,
KBSM,CRAIN.5d,198,10.6M,8,2020-06-14,Atlantic,12.34.24,0,,,skip,ok,117,,
KBSM,CRAIN.5d,299,12.1M,2,2020-06-12,Midwest_Gulf,23.57.24,0,,,skip,low sig,118,,
KBSM,CRAIN.5d,306,12.3M,1,2020-06-15,Midwest_Atlantic,04.56.17,10,nice,"1K, 7K, 8N",,signal,119,,
KBSM,CRAIN.5d,389,11.5M,2,2020-06-16,Atlantic_Gulf,01.00.26,10,nice,"1K, 6K, 8N",,signal,120,,
KBSM,CRAIN,108,8.8M,5,2020-06-13,Midwest,14.14.28,0,,,skip,low sig,121,,
KBSM,CRAIN,191,10.3M,7,2020-06-13,Gulf,22.44.43,100,nice,Chr08N,,signal,122,,
KBSM,CRAIN,198,10.6M,3,2020-06-14,Atlantic,12.21.28,0,,,skip,ok,123,,
KBSM,CRAIN,299,12.1M,7,2020-06-12,Midwest_Gulf,23.43.35,10,,"2K, 3N, 6K, 8N",,signal,124,,
KBSM,CRAIN,306,12.3M,13,2020-06-15,Midwest_Atlantic,04.41.49,0,,,skip,ok,125,,
KBSM,CRAIN,389,11.5M,8,2020-06-16,Atlantic_Gulf,00.46.31,10,nice,"3N, 6K, 8N",,signal,126,,
KBSM,EM1,105,8.8M,2,2020-06-13,Midwest,17.06.07,,structure,,skip,drop,127,,
KBSM,EM1,197,10.6M,13,2020-06-14,Atlantic,18.35.20,10,,,,signal,128,,
KBSM,EM1,205,10.3M,14,2020-06-14,Gulf,03.46.12,0,,,skip,ok,129,,
KBSM,EM1,302,12.3M,10,2020-06-15,Midwest_Atlantic,13.09.57,10,,,,signal,130,,
KBSM,EM1,310,12.1M,13,2020-06-13,Midwest_Gulf,08.40.12,10,,4K,,ok,131,,
KBSM,EM1,402,11.5M,13,2020-06-16,Atlantic_Gulf,09.52.19,10,,6K,,signal,132,,
KBSM,EM50,109,8.8M,3,2020-06-13,Midwest,17.17.41,,structure,,skip,drop,133,,
KBSM,EM50,200,10.6M,13,2020-06-14,Atlantic,18.48.23,100,nice,,,signal,134,,
KBSM,EM50,205,10.3M,14,2020-06-14,Gulf,03.58.44,0,,,skip,ok,135,,
KBSM,EM50,309,12.3M,10,2020-06-15,Midwest_Atlantic,13.24.36,10,nice,"Chr05N, Chr08N",,signal,136,,
KBSM,EM50,314,12.1M,11,2020-06-13,Midwest_Gulf,08.54.32,10,,,,signal,137,,
KBSM,EM50,405,11.5M,13,2020-06-16,Atlantic_Gulf,10.06.28,10,nice,"3K, 3N, 6K",,signal,138,,
