,Estimate,SE,site,subpop,phe,bic,loglik,,,,Estimate,SE,site,subpop,phe,bic,loglik
,0.192,0.120,OK,Gulf_and_Midwest,crain_7d,1242.0,-616.0,,,,,,,,,,
,0.090,0.068,OK,Gulf_and_Midwest,crain_2d,1076.1,-533.0,,,,,,,,,,
,0.078,0.073,OK,Gulf_and_Midwest,CRAIN_5d,1222.4,-606.1,,,,,,,,,,
,0.076,0.059,OK,Gulf_and_Midwest,crain_3d,1098.6,-544.3,,,,,,,,,,
*,1.000,0.000,OK,Midwest,dyln_fl50,-42.9,25.4,,,,,,,,,,
*,1.000,0.000,OK,Midwest,cgdd_12c_gr2fl,663.0,-327.5,,,,,,,,,,
*,1.000,0.000,OK,Midwest,crain_7d,405.3,-198.7,,,,,,,,,,
*,1.000,0.000,OK,Midwest,dyln_change_sec,452.3,-222.2,,,,,,,,,,
*,1.000,0.000,OK,Midwest,crain_gr2fl,620.4,-306.2,,,,,,,,,,
*,1.000,0.000,OK,Midwest,FL50,368.8,-180.4,,,,,,,,,,
*,1.000,0.713,OK,Midwest,CRAIN_5d,393.4,-192.7,,,,,,,,,,
,0.387,0.915,OK,Midwest,crain_3d,330.2,-161.1,,,,,,,,,,
,0.000,1.050,OK,Midwest,crain_2d,305.1,-148.6,,,,,,,,,,
*,0.976,0.008,SD,Gulf,crain_2d,468.7,-230.0,,,,,,,,,,
*,0.973,0.009,SD,Gulf,dyln_change_sec,299.8,-145.6,,,,,,,,,,
,0.884,0.039,SD,Gulf,FL50,383.1,-187.3,,,,,,,,,,
,0.875,0.041,SD,Gulf,dyln_fl50,-69.9,39.3,,,,,,,,,,
,0.847,0.051,SD,Gulf,crain_gr2fl,689.9,-340.6,,,,,,,,,,
,0.808,0.064,SD,Gulf,cgdd_12c_gr2fl,667.8,-329.6,,,,,,,,,,
,0.794,0.070,SD,Gulf,crain_3d,548.9,-270.1,,,,,,,,,,
,0.083,0.112,SD,Gulf,CRAIN_5d,693.6,-342.5,,,,,,,,,,
,0.000,0.000,SD,Gulf,crain_7d,1104.2,-547.8,,,,,,,,,,
*,0.990,0.003,SD,Gulf_and_Midwest,dyln_change_sec,731.5,-360.8,,,,,,,,,,
*,0.958,0.013,SD,Gulf_and_Midwest,crain_2d,872.0,-431.0,,,,,,,,,,
,0.904,0.027,SD,Gulf_and_Midwest,FL50,748.2,-369.2,,,,,,,,,,
,0.889,0.031,SD,Gulf_and_Midwest,dyln_fl50,-98.3,54.1,,,,,,,,,,
,0.871,0.036,SD,Gulf_and_Midwest,cgdd_12c_gr2fl,1282.0,-636.1,,,,,,,,,,
,0.793,0.056,SD,Gulf_and_Midwest,crain_gr2fl,1245.1,-617.6,,,,,,,,,,
,0.659,0.101,SD,Gulf_and_Midwest,crain_3d,970.5,-480.3,,,,,,,,,,
,0.109,0.073,SD,Gulf_and_Midwest,CRAIN_5d,1205.0,-597.6,,,,,,,,,,
,0.006,0.020,SD,Gulf_and_Midwest,crain_7d,1940.1,-965.1,,,,,,,,,,
*,1.000,0.000,SD,Midwest,dyln_fl50,-39.3,23.8,,,,,,,,,,
*,1.000,0.000,SD,Midwest,FL50,350.5,-171.1,,,,,,,,,,
*,1.000,0.000,SD,Midwest,cgdd_12c_gr2fl,600.5,-296.1,,,,,,,,,,
*,1.000,0.000,SD,Midwest,dyln_change_sec,404.8,-198.3,,,,,,,,,,
*,1.000,0.000,SD,Midwest,crain_gr2fl,527.5,-259.6,,,,,,,,,,
,0.000,0.000,SD,Midwest,crain_2d,377.6,-184.7,,,,,,,,,,
,0.000,0.000,SD,Midwest,crain_7d,462.7,-227.2,,,,,,,,,,
,0.000,0.000,SD,Midwest,CRAIN_5d,464.9,-228.3,,,,,,,,,,
,0.000,0.000,SD,Midwest,crain_3d,395.8,-193.8,,,,,,,,,,
*,0.900,0.025,TX1,Gulf,dyln_fl50,-185.7,97.9,,,,,,,,,,
*,0.812,0.047,TX1,Gulf,cgdd_12c_gr2fl,2047.4,-1018.7,,,,,,,,,,
,0.799,0.051,TX1,Gulf,FL50,1165.6,-577.8,,,,,,,,,,
