Estimate,SE,site,subpop,phe,bic,loglik
0.2726272898123192,0.11135876581492106,tx_sites,Midwest,tmin_10d,586.6821644400211,-285.3565672513029
0.3234917429890098,0.1108366435686069,tx_sites,Midwest,tave_10d,641.6785798936436,-312.85477497811416
0.3126909710281887,0.10663506556689825,tx_sites,Midwest,cgdd_12c_10d,451.3425274436429,-217.68674875311385
0.16189361985577072,0.11505860989051542,tx_sites,Midwest,tmax_5d,791.7718198799403,-387.9013949712625
0.18624868541954606,0.11331739873079139,tx_sites,Midwest,tmin_5d,746.0274503800002,-365.0292102212925
0.18381106711289458,0.11409933482190208,tx_sites,Midwest,tave_5d,759.5241111244662,-371.7775405935255
0.10610652052196434,0.10317258695338263,tx_sites,Midwest,cgdd_12c_5d,624.4194928398309,-304.22523145120783
0.3815510546997583,0.11606170191104372,tx_sites,Gulf_and_Midwest,GR50,4682.439423897626,-2331.0600913853295
0.38269405026687675,0.11697797551122201,tx_sites,Gulf_and_Midwest,DYLN,-1495.7927848347936,758.05601298088
0.08810967420381478,0.07203324999608818,tx_sites,Gulf_and_Midwest,cgdd_12c_jan2gr,7236.400197960982,-3608.0404784170078
0.11919615701201168,0.09258720760768681,tx_sites,Gulf_and_Midwest,cgdd_8c_jan2gr,8122.092019409623,-4050.8863891413284
0.0742972933758095,0.05496638763899871,tx_sites,Gulf_and_Midwest,tmax_18d,1946.3663882846367,-963.0235735788351
0.0871302703509203,0.05840045427860133,tx_sites,Gulf_and_Midwest,tmin_18d,1685.6415338100478,-832.6611463415406
0.08110058490222508,0.058128549471494,tx_sites,Gulf_and_Midwest,tave_18d,1778.4763340475015,-879.0785464602675
0.09823323374898622,0.06573867324168653,tx_sites,Gulf_and_Midwest,cgdd_12c_18d,1068.0505436927,-523.8656512828668
0.09884138125055736,0.06179249379744522,tx_sites,Gulf_and_Midwest,tmax_10d,2438.427904180135,-1209.0543315265843
0.10661730943830079,0.05861615696617217,tx_sites,Gulf_and_Midwest,tmin_10d,2322.776697478924,-1151.2287281759786
0.1012573065883814,0.06118461643927919,tx_sites,Gulf_and_Midwest,tave_10d,2320.2172649670783,-1149.949011920056
0.142311048637972,0.07563843092820978,tx_sites,Gulf_and_Midwest,cgdd_12c_10d,1607.3033467110556,-793.4920527920445
0.0844687316944537,0.03653870481453611,tx_sites,Gulf_and_Midwest,tmax_5d,3366.004455467786,-1672.8426071704098
0.07664758365435606,0.032407876454612745,tx_sites,Gulf_and_Midwest,tmin_5d,3267.3628262154634,-1623.5217925442485
0.08183569947295155,0.03478031023889981,tx_sites,Gulf_and_Midwest,tave_5d,3259.924110902669,-1619.8024348878512
0.1171060200011284,0.04465936934305431,tx_sites,Gulf_and_Midwest,cgdd_12c_5d,2561.5412123497017,-1270.6109856113676
0.20365795563532785,0.08884675368682556,north_sites,Gulf,GR50,3583.989440096743,-1782.3309097986692
0.08516284191227154,0.05710959135349676,north_sites,Gulf,DYLN,-1099.4129969457356,559.3703087225701
3.1844976838716738e-9,1.846439554594045e-10,north_sites,Gulf,cgdd_12c_jan2gr,8978.56811405831,-4479.620246779452
1.1976645023005567e-8,6.894389427764295e-10,north_sites,Gulf,cgdd_8c_jan2gr,10202.841719398444,-5091.757049449519
0.23363684230754939,0.09147351829972836,north_sites,Gulf,tmax_18d,1427.887613844646,-704.2799966726207
0.2233245333252492,0.08489721212497933,north_sites,Gulf,tmin_18d,1448.5512904885702,-714.6118349945828
0.24230926251231977,0.09141536113600683,north_sites,Gulf,tave_18d,1404.3038691444601,-692.4881243225277
