Estimate,SE,site,subpop,phe,bic,loglik
0.551319058,0.448083823,MI,Midwest,CRAIN_5d,603.2554801,-296.9549112
9.29E-07,0.440650753,MI,Midwest,crain_2d,464.6026982,-227.6285203
4.82E-07,0.46963259,MI,Midwest,crain_3d,536.5340473,-263.5941948
0.370165988,0.439482466,MI,Midwest,crain_7d,604.746222,-297.7002822
0.874838923,0.041466872,SD,Gulf,dyln_fl50,-69.93518471,39.28508047
0.973112088,0.009009788,SD,Gulf,dyln_change_sec,299.7589108,-145.5619673
0.883690885,0.038573346,SD,Gulf,FL50,383.1416157,-187.2533197
0.732845134,0.092121354,SD,Gulf,GR50,310.56861,-150.9668169
0.808473201,0.063769186,SD,Gulf,cgdd_12c_gr2fl,667.8160526,-329.5905382
0.847026326,0.050975458,SD,Gulf,crain_gr2fl,689.8634821,-340.6142529
0.08313573,0.112321989,SD,Gulf,CRAIN_5d,693.6415291,-342.5032764
0.976031168,0.008146714,SD,Gulf,crain_2d,468.7021845,-230.0336041
0.793887747,0.070357587,SD,Gulf,crain_3d,548.928769,-270.1468964
1.52E-08,2.48E-09,SD,Gulf,crain_7d,1104.227491,-547.7962571
0.999999448,9.92E-08,SD,Midwest,dyln_fl50,-39.3231825,23.78872564
0.999999192,1.45E-07,SD,Midwest,dyln_change_sec,404.7595687,-198.2526499
0.999999404,1.07E-07,SD,Midwest,FL50,350.5173253,-171.1315283
0.99999876,2.23E-07,SD,Midwest,GR50,215.4436746,-103.5947029
0.999999364,1.14E-07,SD,Midwest,cgdd_12c_gr2fl,600.5166293,-296.1311803
0.999999046,1.71E-07,SD,Midwest,crain_gr2fl,527.520076,-259.6329036
1.22E-06,2.19E-07,SD,Midwest,CRAIN_5d,464.8983795,-228.3220554
1.49E-06,2.68E-07,SD,Midwest,crain_2d,377.6420127,-184.6938719
7.17E-07,1.29E-07,SD,Midwest,crain_3d,395.7578086,-193.7517699
1.26E-06,2.27E-07,SD,Midwest,crain_7d,462.6822421,-227.2139867
0.890008176,0.026892079,TX1,Gulf_and_Midwest,dyln_fl50,-218.4015411,114.3769203
