PLANT_ID,LIBRARY,LIB_CLIMATE,LIB_PHENO
J527.C,IIMB,Y,Y
J536.B,IIMD,Y,Y
J539.B,IIME,Y,Y
J540.B,IIMG,Y,Y
J540.C,IIMH,Y,Y
J541.A,IIMI,Y,Y
J541.B,IIMJ,Y,Y
J542.B,IIMK,Y,Y
J574.B,IIMM,Y,Y
J268.A,IJAM,Y,Y
J271.A,IJAN,Y,Y
J272.A,IJAP,Y,Y
J274.A,IJAQ,Y,Y
J276.B,IJAS,Y,Y
J288.B,IJAT,N,Y
J394.C,IJAU,N,Y
J538.A,IJAW,Y,Y
J581.C,IJAY,Y,Y
J582.A,IJAZ,Y,Y
J582.C,IJBA,Y,Y
J583.C,IJBB,Y,Y
J585.B,IJBC,Y,Y
J586.B,IJBD,Y,Y
J586.C,IJBE,Y,Y
J587.C,IJBF,Y,Y
J588.A,IJBG,Y,Y
J588.B,IJBH,Y,Y
J589.B,IJBI,Y,Y
J589.C,IJBJ,Y,Y
J590.B,IJBK,Y,Y
J591.A,IJBL,Y,Y
J591.B,IJBM,Y,Y
J592.A,IJBN,Y,Y
J592.B,IJBP,Y,Y
J593.B,IJBR,Y,Y
J594.A,IJBS,Y,Y
J595.A,IJBU,Y,Y
J595.B,IJBW,Y,Y
J595.C,IJBX,Y,Y
J596.A,IJBY,Y,Y
J596.C,IMIL,Y,Y
J601.A,IMIM,Y,Y
J597.A,IMIN,Y,Y
J601.B,IMIP,Y,Y
J597.B,IMIQ,Y,Y
J602.A,IMIR,Y,Y
J597.C,IMIS,Y,Y
J602.B,IMIT,Y,Y
J598.A,IMIU,Y,Y
J598.B,IMIW,Y,Y
J599.A,IMIY,Y,Y
J599.B,IMIZ,Y,Y
J599.C,IMJA,Y,Y
J600.A,IMJB,Y,Y
J600.B,IMJC,Y,Y
J422.A,INES,N,Y
J603.A,INET,Y,Y
J603.B,INEU,Y,Y
J603.C,INEW,Y,Y
J605.A,INEX,Y,Y
J605.B,INEY,Y,Y
J605.C,INEZ,Y,Y
J607.A,INFB,Y,Y
J608.A,INFD,Y,Y
J609.A,INFE,Y,Y
J609.B,INFF,Y,Y
J609.C,INFG,Y,Y
J610.A,INFH,Y,Y
J610.B,INFI,Y,Y
J610.C,INFJ,Y,Y
J612.A,INFK,Y,Y
J612.C,INFL,Y,Y
J613.A,INFM,Y,Y
J613.B,INFN,Y,Y
J613.C,INFP,Y,Y
J614.A,INFQ,Y,Y
J614.B,INFR,Y,Y
J614.C,INFS,Y,Y
J615.A,INFT,Y,Y
J617.A,INFU,Y,Y
J619.A,INFW,Y,Y
J621.A,INFX,Y,Y
J621.B,INFY,Y,Y
J621.C,INFZ,Y,Y
J625.B,INGA,Y,Y
J626.B,INGB,Y,Y
J635.A,INGD,Y,Y
J635.B,INGE,Y,Y
J635.C,INGF,Y,Y
J636.B,INGH,Y,Y
J636.C,INGI,Y,Y
J640.B,INGJ,Y,Y
J640.C,INGK,Y,Y
J641.A,INGL,Y,Y
J641.B,INGM,Y,Y
J641.C,INGN,Y,Y
J644.B,INGP,Y,Y
J644.C,INGQ,Y,Y
J645.A,INGR,Y,Y
J645.B,INGS,Y,Y
J645.C,INGT,Y,Y
J646.A,INGU,Y,Y
J646.B,INGW,Y,Y
J646.C,INGX,Y,Y
J647.B,INGY,Y,Y
J647.C,INGZ,Y,Y
J649.A,INHA,Y,Y
J649.B,INHB,Y,Y
J649.C,INHC,Y,Y
J650.A,INHD,N,Y
J650.B,INHE,N,Y
J650.C,INHF,N,Y
J651.A,INHG,Y,Y
J651.B,INHH,Y,Y
J651.C,INHI,Y,Y
J652.B,INHJ,Y,Y
J209.A,INHN,Y,Y
J210.A,INHP,Y,Y
J211.A,INHQ,Y,Y
J215.A,INHS,Y,Y
J216.A,INHT,Y,Y
J218.A,INHW,Y,Y
J219.A,INHX,Y,Y
J220.A,INHY,Y,Y
